,survived,pclass,sex,sibsp,parch,fare,class,who,adult_male,alive,alone
0,0,3,male,1,0,7.25,Third,man,True,no,False
1,1,1,female,1,0,71.2833,First,woman,False,yes,False
2,1,3,female,0,0,7.925,Third,woman,False,yes,True
3,1,1,female,1,0,53.1,First,woman,False,yes,False
4,0,3,male,0,0,8.05,Third,man,True,no,True
5,0,3,male,0,0,8.4583,Third,man,True,no,True
6,0,1,male,0,0,51.8625,First,man,True,no,True
7,0,3,male,3,1,21.075,Third,child,False,no,False
8,1,3,female,0,2,11.1333,Third,woman,False,yes,False
9,1,2,female,1,0,30.0708,Second,child,False,yes,False
10,1,3,female,1,1,16.7,Third,child,False,yes,False
11,1,1,female,0,0,26.55,First,woman,False,yes,True
12,0,3,male,0,0,8.05,Third,man,True,no,True
13,0,3,male,1,5,31.275,Third,man,True,no,False
14,0,3,female,0,0,7.8542,Third,child,False,no,True
15,1,2,female,0,0,16.0,Second,woman,False,yes,True
16,0,3,male,4,1,29.125,Third,child,False,no,False
17,1,2,male,0,0,13.0,Second,man,True,yes,True
18,0,3,female,1,0,18.0,Third,woman,False,no,False
19,1,3,female,0,0,7.225,Third,woman,False,yes,True
20,0,2,male,0,0,26.0,Second,man,True,no,True
21,1,2,male,0,0,13.0,Second,man,True,yes,True
22,1,3,female,0,0,8.0292,Third,child,False,yes,True
23,1,1,male,0,0,35.5,First,man,True,yes,True
24,0,3,female,3,1,21.075,Third,child,False,no,False
25,1,3,female,1,5,31.3875,Third,woman,False,yes,False
26,0,3,male,0,0,7.225,Third,man,True,no,True
27,0,1,male,3,2,263.0,First,man,True,no,False
28,1,3,female,0,0,7.8792,Third,woman,False,yes,True
29,0,3,male,0,0,7.8958,Third,man,True,no,True
30,0,1,male,0,0,27.7208,First,man,True,no,True
31,1,1,female,1,0,146.5208,First,woman,False,yes,False
32,1,3,female,0,0,7.75,Third,woman,False,yes,True
33,0,2,male,0,0,10.5,Second,man,True,no,True
34,0,1,male,1,0,82.1708,First,man,True,no,False
35,0,1,male,1,0,52.0,First,man,True,no,False
36,1,3,male,0,0,7.2292,Third,man,True,yes,True
37,0,3,male,0,0,8.05,Third,man,True,no,True
38,0,3,female,2,0,18.0,Third,woman,False,no,False
39,1,3,female,1,0,11.2417,Third,child,False,yes,False
40,0,3,female,1,0,9.475,Third,woman,False,no,False
41,0,2,female,1,0,21.0,Second,woman,False,no,False
42,0,3,male,0,0,7.8958,Third,man,True,no,True
43,1,2,female,1,2,41.5792,Second,child,False,yes,False
44,1,3,female,0,0,7.8792,Third,woman,False,yes,True
45,0,3,male,0,0,8.05,Third,man,True,no,True
46,0,3,male,1,0,15.5,Third,man,True,no,False
